N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
28,19,47,K,x,-35712,1.4,8514.879,0.03,B-,6632.4,2.6    4
27,20,47,Ca,,-42344.4,2.2,8639.35,0.05,B-,1992.2,1.2    4
26,21,47,Sc,,-44336.6,1.9,8665.09,0.04,B-,600.8,1.9    4
25,22,47,Ti,,-44937.36,0.12,8661.227,0.003,,*,4
24,23,47,V,,-42006.62,0.17,8582.225,0.004,B+,2930.75,0.14   4
23,24,47,Cr,,-34563,6,8407.2,0.13,B+,7444,6      4
22,25,47,Mn,x,-22570,30,8135.3,0.7,B+,12000,30      4
21,26,47,Fe,x,-6870,500,7785,11,B+,15700,500.     4
20,27,47,Co,x,10370,600,7401,13,B+,17240,780.     4
32,16,48,S,x,12760,600,7545,12,B-,17040,780.     4
31,17,48,Cl,x,-4280,500,7883,10,B-,18000,590.     4
30,18,48,Ar,x,-22280,310,8242,6,B-,10000,310      4
29,19,48,K,x,-32284.5,0.8,8434.232,0.016,B-,11940.2,0.8    4
28,20,48,Ca,,-44224.63,0.1,8666.686,0.002,B-,279,5      4
27,21,48,Sc,,-44504,5,8656.2,0.1,B-,3989,5      4
26,22,48,Ti,,-48492.71,0.11,8723.006,0.002,,*,4
25,23,48,V,,-44477.7,1,8623.061,0.02,B+,4015,1.0    4
24,24,48,Cr,#NAME?,-42822,7,8572.27,0.15,B+,1656,7      4
23,25,48,Mn,,-29296,7,8274.19,0.14,B+,13526,10      4
22,26,48,Fe,x,-18000,400,8023,8,B+,11300,400.     4
21,27,48,Co,x,1500,500,7600,10,B+,19500,640.     4
20,28,48,Ni,#NAME?,16790,500,7265,10,B+,15290,710.     4
33,16,49,S,#NAME?,21090,670,7385,14,B-,20150,900.     4
32,17,49,Cl,x,940,600,7781,12,B-,18130,720.     4
31,18,49,Ar,x,-17190,400,8135,8,B-,12420,400.     4
30,19,49,K,x,-29611.5,0.8,8372.274,0.016,B-,11688.3,0.8    4
29,20,49,Ca,#NAME?,-41299.77,0.2,8594.844,0.004,B-,5261.5,2.7    4
28,21,49,Sc,,-46561.3,2.7,8686.26,0.06,B-,2002.5,2.7    4
27,22,49,Ti,,-48563.79,0.11,8711.157,0.002,,*,4
26,23,49,V,-,-47961.9,0.8,8682.908,0.017,B+,601.9,0.8    4
25,24,49,Cr,,-45333.1,2.2,8613.29,0.05,B+,2628.9,2.4    4
24,25,49,Mn,,-37620.6,2.3,8439.93,0.05,B+,7712.43,0.23   4
23,26,49,Fe,x,-24751,24,8161.3,0.5,B+,12870,24      4
22,27,49,Co,x,-9880,500,7842,10,B+,14870,500.     4
21,28,49,Ni,x,8200,600,7457,12,B+,18080,780.     4
33,17,50,Cl,x,7740,600,7651,12,B-,21070,780.     5
32,18,50,Ar,x,-13330,500,8056,10,B-,12400,500.     4
31,19,50,K,x,-25728,8,8288.58,0.15,B-,13861,8      4
30,20,50,Ca,x,-39589.2,1.6,8550.16,0.03,B-,4958,15      4
29,21,50,Sc,#NAME?,-44547,15,8633.7,0.3,B-,6884,15      4
28,22,50,Ti,,-51431.66,0.12,8755.718,0.002,B-,-2207.6,0.4    4
27,23,50,V,#NAME?,-49224,0.4,8695.918,0.008,B-,1038.06,0.30   4
26,24,50,Cr,,-50262.1,0.4,8701.032,0.009,,*,4
25,25,50,Mn,,-42627.6,0.4,8532.696,0.009,B+,7634.48,0.07   4
24,26,50,Fe,x,-34476,8,8354.03,0.17,B+,8151,8      4
23,27,50,Co,x,-17630,400,8001,8,B+,16850,400.     4
22,28,50,Ni,x,-4120,500,7716,10,B+,13510,640.     4
34,17,51,Cl,x,14290,700,7530,14,B-,20980,920.     5
33,18,51,Ar,x,-6690,600,7926,12,B-,15830,600.     5
32,19,51,K,x,-22516,13,8221.35,0.26,B-,13816,13      5
31,20,51,Ca,x,-36332.3,0.5,8476.913,0.01,B-,6896,20      5
30,21,51,Sc,#NAME?,-43229,20,8596.8,0.4,B-,6504,20      5
29,22,51,Ti,#NAME?,-49732.8,0.5,8708.988,0.01,B-,2471,0.6    5
28,23,51,V,,-52203.8,0.4,8742.099,0.008,,*,5
27,24,51,Cr,,-51451.4,0.4,8712.005,0.008,B+,752.45,0.21   5
26,25,51,Mn,,-48243.9,0.5,8633.772,0.01,B+,3207.5,0.3    5
25,26,51,Fe,,-40203,9,8460.76,0.18,B+,8041,9      5
24,27,51,Co,x,-27340,50,8193.3,0.9,B+,12860,50      5
23,28,51,Ni,x,-11900,500,7875,10,B+,15440,500.     5
34,18,52,Ar,x,-1280,600,7825,12,B-,15860,600.     5
33,19,52,K,x,-17140,30,8115,0.6,B-,17130,30      5
32,20,52,Ca,x,-34266.3,0.7,8429.381,0.013,B-,6180,80      5
31,21,52,Sc,x,-40440,80,8533.1,1.6,B-,9030,80      5
30,22,52,Ti,#NAME?,-49470,7,8691.67,0.14,B-,1974,7      5
29,23,52,V,#NAME?,-51443.8,0.4,8714.582,0.008,B-,3975.5,0.5    5
28,24,52,Cr,,-55419.2,0.3,8775.989,0.007,,*,5
27,25,52,Mn,,-50707.3,1.8,8670.33,0.04,B+,4712,1.9    5
26,26,52,Fe,,-48330,5,8609.57,0.1,B+,2377,5      5
25,27,52,Co,x,-34361,8,8325.89,0.16,B+,13969,10      5
24,28,52,Ni,x,-22330,400,8079,8,B+,12030,400.     5
23,29,52,Cu,x,-2280,600,7679,12,B+,20050,720.     5
35,18,53,Ar,x,6790,700,7677,13,B-,19090,710.     5
34,19,53,K,x,-12300,110,8022.8,2.1,B-,17090,120      5
33,20,53,Ca,x,-29390,40,8330.6,0.8,B-,9520,100      5
32,21,53,Sc,x,-38910,90,8495.4,1.8,B-,7920,140      5
31,22,53,Ti,+,-46830,100,8630.2,1.9,B-,5020,100      5
30,23,53,V,#NAME?,-51851,3,8710.13,0.06,B-,3436,3      5
29,24,53,Cr,,-55287,0.3,8760.198,0.007,,*,5
28,25,53,Mn,,-54690.1,0.5,8734.175,0.009,B+,596.9,0.4    5
27,26,53,Fe,,-50947.5,1.7,8648.8,0.03,B+,3742.6,1.7    5
26,27,53,Co,,-42659.4,1.7,8477.66,0.03,B+,8288.1,0.4    5
25,28,53,Ni,x,-29631,25,8217.1,0.5,B+,13029,25      5
24,29,53,Cu,x,-13270,500,7894,9,B+,16360,500.     5
35,19,54,K,x,-5000,600,7889,11,B-,20160,600.     5
34,20,54,Ca,x,-25160,50,8247.5,0.9,B-,8730,280      5
33,21,54,Sc,x,-33890,270,8395,5,B-,11730,280      5
32,22,54,Ti,x,-45620,80,8597.4,1.5,B-,4270,80      5
31,23,54,V,+,-49893,15,8662.04,0.28,B-,7042,15      5
30,24,54,Cr,,-56934.8,0.4,8777.955,0.007,B-,-1377.1,1.0    5
29,25,54,Mn,#NAME?,-55557.6,1.1,8737.965,0.02,B-,696.9,1.1    5
28,26,54,Fe,,-56254.5,0.4,8736.382,0.007,,*,5
27,27,54,Co,,-48010,0.4,8569.217,0.007,B+,8244.55,0.09   5
26,28,54,Ni,x,-39278,5,8393.03,0.09,B+,8732,5      5
25,29,54,Cu,x,-21410,400,8048,7,B+,17870,400.     5
24,30,54,Zn,#NAME?,-6270,400,7753,7,B+,15140,570.     5
36,19,55,K,x,710,700,7788,13,B-,19060,760.     5
35,20,55,Ca,x,-18350,300,8120,5,B-,11810,540.     5
34,21,55,Sc,x,-30160,450,8321,8,B-,11510,480      5
33,22,55,Ti,,-41670,160,8516,2.9,B-,7480,160      5
32,23,55,V,,-49140,100,8637.7,1.7,B-,5970,100      5
31,24,55,Cr,,-55109.7,0.4,8731.924,0.007,B-,2602.7,0.4    5
30,25,55,Mn,,-57712.4,0.3,8765.022,0.006,,*,5
29,26,55,Fe,,-57481.3,0.3,8746.595,0.006,B+,231.11,0.18   5
28,27,55,Co,,-54029.9,0.4,8669.618,0.008,B+,3451.4,0.3    5
27,28,55,Ni,-,-45335.8,0.7,8497.32,0.013,B+,8694,0.6    5
26,29,55,Cu,x,-31640,160,8234,2.8,B+,13700,160      5
25,30,55,Zn,x,-14570,400,7909,7,B+,17070,430.     5
37,19,56,K,x,7930,800,7664,14,B-,21830,900.     5
36,20,56,Ca,x,-13900,400,8040,7,B-,10950,710.     5
35,21,56,Sc,x,-24850,590,8222,10,B-,14470,600      5
34,22,56,Ti,,-39320,120,8466.1,2.2,B-,6830,190      5
33,23,56,V,,-46150,180,8574,3,B-,9130,180      5
32,24,56,Cr,++,-55285,0.6,8723.258,0.011,B-,1626.5,0.6    5
31,25,56,Mn,#NAME?,-56911.5,0.3,8738.333,0.006,B-,3695.54,0.21   5
30,26,56,Fe,,-60607.1,0.3,8790.354,0.005,,*,5
29,27,56,Co,,-56040.4,0.5,8694.836,0.009,B+,4566.7,0.4    5
28,28,56,Ni,,-53907.5,0.4,8642.779,0.008,B+,2132.9,0.4    5
27,29,56,Cu,x,-38643,15,8356.23,0.27,B+,15265,15      5
26,30,56,Zn,x,-25390,400,8106,7,B+,13250,400.     5
25,31,56,Ga,x,-3390,500,7699,9,B+,22000,640.     5
37,20,57,Ca,x,-6870,400,7917,7,B-,14120,1360.     5
36,21,57,Sc,x,-21000,1300,8151,23,B-,12920,1330      5
35,22,57,Ti,x,-33920,260,8364,4,B-,10500,270      5
34,23,57,V,x,-44410,80,8534.8,1.4,B-,8110,80      5
33,24,57,Cr,x,-52524.7,1.1,8663.394,0.019,B-,4961.5,1.8    5
32,25,57,Mn,,-57486.3,1.5,8736.713,0.026,B-,2695.6,1.5    5
31,26,57,Fe,,-60181.8,0.3,8770.279,0.005,,*,5
30,27,57,Co,,-59345.6,0.5,8741.882,0.009,B+,836.3,0.5    5
29,28,57,Ni,,-56083.8,0.6,8670.933,0.01,B+,3261.7,0.6    5
28,29,57,Cu,,-47308.9,0.5,8503.262,0.009,B+,8774.9,0.4    5
27,30,57,Zn,x,-32550,200,8231,4,B+,14760,200.     5
26,31,57,Ga,x,-15010,400,7909,7,B+,17540,450.     5
38,20,58,Ca,x,-1920,500,7835,9,B-,12960,640.     5
37,21,58,Sc,x,-14880,400,8045,7,B-,16230,450.     5
36,22,58,Ti,x,-31110,200,8311,3,B-,9290,220.     5
35,23,58,V,x,-40400,90,8457.7,1.5,B-,11590,90      5
34,24,58,Cr,x,-51991.8,1.5,8643.998,0.026,B-,3836,3      5
33,25,58,Mn,x,-55827.6,2.7,8696.64,0.05,B-,6327.6,2.7    5
32,26,58,Fe,,-62155.1,0.3,8792.25,0.006,B-,-2308,1.1    5
31,27,58,Co,,-59847.2,1.2,8738.969,0.02,B-,381.6,1.1    5
30,28,58,Ni,,-60228.7,0.4,8732.059,0.006,,*,5
29,29,58,Cu,,-51667.7,0.6,8570.967,0.01,B+,8561,0.4    5
28,30,58,Zn,--,-42300,50,8395.9,0.9,B+,9370,50      5
27,31,58,Ga,x,-23540,300,8059,5,B+,18760,300.     5
26,32,58,Ge,x,-7080,500,7762,9,B+,16460,580.     5
38,21,59,Sc,x,-10300,400,7967,7,B-,15210,450.     5
37,22,59,Ti,x,-25510,200,8212,3,B-,12320,260.     5
36,23,59,V,x,-37830,160,8407.6,2.7,B-,10250,270      5
35,24,59,Cr,x,-48090,220,8568,4,B-,7440,220      5
34,25,59,Mn,x,-55525.3,2.3,8680.92,0.04,B-,5139.5,2.4    5
33,26,59,Fe,,-60664.8,0.4,8754.771,0.006,B-,1564.9,0.4    5
32,27,59,Co,,-62229.7,0.4,8768.035,0.007,,*,5
31,28,59,Ni,,-61156.7,0.4,8736.588,0.006,B+,1073,0.19   5
30,29,59,Cu,,-56358.3,0.5,8642,0.009,B+,4798.4,0.4    5
29,30,59,Zn,,-47215.6,0.8,8473.777,0.013,B+,9142.8,0.6    5
28,31,59,Ga,x,-33760,170,8232,3,B+,13460,170.     5
27,32,59,Ge,x,-15870,400,7916,7,B+,17890,430.     5
39,21,60,Sc,x,-4050,500,7865,8,B-,18280,580.     5
38,22,60,Ti,x,-22330,300,8157,5,B-,10910,370.     5
37,23,60,V,x,-33240,220,8325,4,B-,13430,290      5
36,24,60,Cr,x,-46670,190,8536,3,B-,6300,190      5
35,25,60,Mn,x,-52967.9,2.3,8628.14,0.04,B-,8445,4      5
34,26,60,Fe,#NAME?,-61413,3,8755.85,0.06,B-,237,3      5
33,27,60,Co,#NAME?,-61650.3,0.4,8746.766,0.007,B-,2822.81,0.21   5
32,28,60,Ni,,-64473.1,0.4,8780.774,0.006,,*,5
31,29,60,Cu,-,-58345.1,1.6,8665.602,0.027,B+,6128,1.6    5
30,30,60,Zn,,-54174.3,0.6,8583.05,0.009,B+,4170.8,1.6    5
29,31,60,Ga,x,-39590,200,8327,3,B+,14580,200.     5
28,32,60,Ge,x,-27090,300,8106,5,B+,12500,360.     5
27,33,60,As,x,-5470,400,7732,7,B+,21620,500.     5
40,21,61,Sc,x,930,600,7787,10,B-,17280,720.     6
39,22,61,Ti,x,-16350,400,8057,7,B-,14160,980.     6
38,23,61,V,x,-30510,890,8276,15,B-,11970,900      6
37,24,61,Cr,x,-42480,100,8459.8,1.7,B-,9270,100      6
36,25,61,Mn,x,-51742.1,2.3,8598.91,0.04,B-,7178,3      6
35,26,61,Fe,x,-58920.5,2.6,8703.77,0.04,B-,3977.6,2.7    6
34,27,61,Co,p2n,-62898.1,0.8,8756.148,0.014,B-,1323.8,0.8    6
33,28,61,Ni,,-64221.9,0.4,8765.025,0.006,,*,6
32,29,61,Cu,p2n,-61984.1,1,8715.514,0.016,B+,2237.8,1.0    6
31,30,61,Zn,,-56349,16,8610.31,0.26,B+,5635,16      6
30,31,61,Ga,,-47130,40,8446.4,0.6,B+,9210,40      6
29,32,61,Ge,x,-33360,300,8208,5,B+,13780,300.     6
28,33,61,As,x,-16900,300,7925,5,B+,16460,420.     6
40,22,62,Ti,x,-12500,400,7995,6,B-,12980,500.     6
39,23,62,V,x,-25480,300,8192,5,B-,15420,330.     6
38,24,62,Cr,x,-40890,150,8428.1,2.4,B-,7630,150      6
37,25,62,Mn,IT,-48524,7,8538.5,0.11,B-,10354,7      6
36,26,62,Fe,x,-58878,2.8,8692.88,0.05,B-,2546,19      6
35,27,62,Co,+,-61424,19,8721.33,0.3,B-,5322,19      6
34,28,62,Ni,,-66746.3,0.4,8794.553,0.007,,*,6
33,29,62,Cu,-,-62787.4,0.6,8718.081,0.01,B+,3958.9,0.5    6
32,30,62,Zn,,-61168,0.6,8679.343,0.01,B+,1619.5,0.7    6
31,31,62,Ga,,-51986.9,0.6,8518.642,0.01,B+,9181.1,0.4    6
30,32,62,Ge,x,-41740,140,8341,2,B+,10250,140.     6
29,33,62,As,x,-24320,300,8047,5,B+,17420,330.     6
41,22,63,Ti,x,-5750,500,7889,8,B-,16140,640.     6
40,23,63,V,x,-21890,400,8133,6,B-,14120,540.     6
39,24,63,Cr,x,-36010,360,8345,6,B-,10880,360      6
38,25,63,Mn,x,-46887,4,8505.1,0.06,B-,8749,6      6
37,26,63,Fe,,-55636,4,8631.55,0.07,B-,6216,19      6
36,27,63,Co,,-61851,19,8717.79,0.29,B-,3661,19      6
35,28,63,Ni,,-65512.8,0.4,8763.493,0.007,B-,66.977,0.015  6
34,29,63,Cu,,-65579.8,0.4,8752.138,0.007,,*,6
33,30,63,Zn,,-62213.4,1.6,8686.285,0.025,B+,3366.4,1.5    6
32,31,63,Ga,x,-56547.1,1.3,8583.926,0.021,B+,5666.3,2.0    6
31,32,63,Ge,x,-46920,40,8418.7,0.6,B+,9630,40      6
30,33,63,As,x,-33500,200,8193,3,B+,13420,200.     6
42,22,64,Ti,x,-1030,600,7818,9,B-,15300,720.     6
41,23,64,V,x,-16320,400,8045,6,B-,17160,590.     6
40,24,64,Cr,x,-33480,440,8301,7,B-,9510,440      6
39,25,64,Mn,x,-42989,4,8437.42,0.06,B-,11981,6      6
38,26,64,Fe,x,-54970,5,8612.39,0.08,B-,4823,21      6
37,27,64,Co,+,-59792,20,8675.5,0.3,B-,7307,20      6
36,28,64,Ni,,-67098.9,0.5,8777.461,0.007,B-,-1674.38,0.23   6
35,29,64,Cu,,-65424.5,0.4,8739.075,0.007,B-,579.5,0.6    6
34,30,64,Zn,,-66004,0.6,8735.905,0.01,,*,6
33,31,64,Ga,,-58832.8,1.4,8611.631,0.022,B+,7171.2,1.5    6
32,32,64,Ge,x,-54315,4,8528.82,0.06,B+,4517,4      6
31,33,64,As,#NAME?,-39530,200,8286,3,B+,14780,200.     6
30,34,64,Se,x,-26700,500,8073,8,B+,12830,540.     6
42,23,65,V,x,-11780,500,7976,8,B-,16440,580.     6
41,24,65,Cr,x,-28220,300,8217,5,B-,12750,300.     6
40,25,65,Mn,x,-40967,4,8400.68,0.06,B-,10251,6      6
39,26,65,Fe,x,-51218,5,8546.35,0.08,B-,7967,6      6
38,27,65,Co,x,-59185.2,2.1,8656.88,0.03,B-,5940.5,2.1    6
37,28,65,Ni,#NAME?,-65125.7,0.5,8736.24,0.008,B-,2138,0.7    6
36,29,65,Cu,,-67263.7,0.6,8757.096,0.01,,*,6
35,30,65,Zn,,-65912,0.6,8724.265,0.01,B+,1351.6,0.4    6
34,31,65,Ga,,-62657.5,0.8,8662.16,0.013,B+,3254.5,0.7    6
33,32,65,Ge,,-56478.2,2.2,8555.06,0.03,B+,6179.3,2.3    6
32,33,65,As,x,-46940,80,8396.2,1.3,B+,9540,80      6
31,34,65,Se,x,-33020,300,8170,5,B+,13920,310.     6
43,23,66,V,x,-5610,500,7884,8,B-,19110,640.     6
42,24,66,Cr,x,-24720,400,8161,6,B-,12030,400.     6
41,25,66,Mn,x,-36750,11,8331.8,0.17,B-,13317,12      6
40,26,66,Fe,x,-50068,4,8521.72,0.06,B-,6341,15      6
39,27,66,Co,x,-56409,14,8605.94,0.21,B-,9598,14      6
38,28,66,Ni,x,-66006.3,1.4,8739.508,0.021,B-,252,1.5    6
37,29,66,Cu,,-66258.3,0.7,8731.472,0.01,B-,2640.9,0.9    6
36,30,66,Zn,,-68899.2,0.7,8759.632,0.011,,*,6
35,31,66,Ga,-,-63723.7,1.1,8669.361,0.017,B+,5175.5,0.8    6
34,32,66,Ge,x,-61607,2.4,8625.44,0.04,B+,2116.6,2.6    6
33,33,66,As,x,-52025,6,8468.4,0.09,B+,9582,6      6
32,34,66,Se,x,-41660,200,8300,3,B+,10370,200.     6
44,23,67,V,x,-650,600,7812,9,B-,18030,720.     6
43,24,67,Cr,x,-18680,400,8070,6,B-,14780,500.     6
42,25,67,Mn,x,-33460,300,8279,4,B-,12150,400.     6
41,26,67,Fe,x,-45610,270,8448,4,B-,9710,270      6
40,27,67,Co,x,-55322,6,8581.74,0.1,B-,8421,7      6
39,28,67,Ni,x,-63742.7,2.9,8695.75,0.04,B-,3577,3      6
38,29,67,Cu,,-67319.5,0.9,8737.458,0.013,B-,560.8,0.8    6
37,30,67,Zn,,-67880.3,0.8,8734.152,0.011,,*,6
36,31,67,Ga,,-66879,1.2,8707.531,0.018,B+,1001.3,1.1    6
35,32,67,Ge,#NAME?,-62658,5,8632.86,0.07,B+,4221,5      6
34,33,67,As,,-56587.2,0.4,8530.568,0.007,B+,6071,5      6
33,34,67,Se,x,-46580,70,8369.5,1,B+,10010,70      6
32,35,67,Br,x,-32790,400,8152,6,B+,13790,410.     6
44,24,68,Cr,x,-14800,500,8013,7,B-,13580,640.     6
43,25,68,Mn,x,-28380,400,8201,6,B-,15110,540.     6
42,26,68,Fe,x,-43490,370,8412,5,B-,8440,410      6
41,27,68,Co,x,-51930,190,8524.4,2.8,B-,11530,190      6
40,28,68,Ni,x,-63463.8,3,8682.47,0.04,B-,2103,3      6
39,29,68,Cu,x,-65567,1.6,8701.89,0.023,B-,4440.1,1.8    6
38,30,68,Zn,,-70007.1,0.8,8755.68,0.012,,*,6
37,31,68,Ga,-,-67086,1.4,8701.218,0.021,B+,2921.1,1.2    6
36,32,68,Ge,x,-66978.8,1.9,8688.136,0.028,B+,107.2,2.4    6
35,33,68,As,,-58894.5,1.8,8557.745,0.027,B+,8084.3,2.6    6
34,34,68,Se,x,-54189.4,0.5,8477.047,0.007,B+,4705.1,1.9    6
33,35,68,Br,#NAME?,-38790,260,8239,4,B+,15400,260.     6
45,24,69,Cr,x,-8580,500,7924,7,B-,16190,640.     6
44,25,69,Mn,x,-24770,400,8147,6,B-,14260,570.     6
43,26,69,Fe,x,-39030,400,8342,6,B-,11250,420.     6
42,27,69,Co,x,-50280,140,8493.9,2,B-,9700,140      6
41,28,69,Ni,x,-59979,4,8623.1,0.05,B-,5758,4      6
40,29,69,Cu,x,-65736.2,1.4,8695.204,0.02,B-,2681.6,1.6    6
39,30,69,Zn,#NAME?,-68417.8,0.8,8722.729,0.012,B-,910,1.4    6
38,31,69,Ga,,-69327.8,1.2,8724.579,0.017,,*,6
37,32,69,Ge,,-67100.7,1.3,8680.963,0.019,B+,2227.1,0.5    6
36,33,69,As,,-63110,30,8611.8,0.5,B+,3990,30      6
35,34,69,Se,,-56434.7,1.5,8503.707,0.022,B+,6680,30      6
34,35,69,Br,#NAME?,-46260,40,8344.9,0.6,B+,10180,40      6
33,36,69,Kr,x,-32440,400,8133,6,B+,13830,400.     6
46,24,70,Cr,x,-4480,600,7867,9,B-,15020,780.     6
45,25,70,Mn,x,-19500,500,8070,7,B-,17010,640.     6
44,26,70,Fe,x,-36510,400,8302,6,B-,10120,500.     6
43,27,70,Co,x,-46630,300,8436,4,B-,12580,300.     6
42,28,70,Ni,x,-59213.9,2.1,8604.29,0.03,B-,3762.5,2.4    6
41,29,70,Cu,x,-62976.4,1.1,8646.865,0.015,B-,6588.4,2.2    6
40,30,70,Zn,,-69564.7,1.9,8729.808,0.027,B-,-654.6,1.6    6
39,31,70,Ga,,-68910.1,1.2,8709.28,0.017,B-,1651.7,1.5    6
38,32,70,Ge,,-70561.9,0.8,8721.7,0.012,,*,6
37,33,70,As,-,-64340,50,8621.7,0.7,B+,6220,50      6
36,34,70,Se,x,-61929.9,1.6,8576.033,0.023,B+,2410,50      6
35,35,70,Br,x,-51426,15,8414.8,0.21,B+,10504,15      6
34,36,70,Kr,x,-41100,200,8256,3,B+,10330,200.     6
46,25,71,Mn,x,-15570,500,8015,7,B-,15860,640.     7
45,26,71,Fe,x,-31430,400,8227,6,B-,12940,610.     7
44,27,71,Co,x,-44370,470,8399,7,B-,11040,470      7
43,28,71,Ni,x,-55406.2,2.2,8543.16,0.03,B-,7304.9,2.7    7
42,29,71,Cu,x,-62711.1,1.5,8635.022,0.021,B-,4618,3      7
41,30,71,Zn,,-67328.8,2.7,8689.04,0.04,B-,2810.4,2.8    7
40,31,71,Ga,,-70139.1,0.8,8717.604,0.011,,*,7
39,32,71,Ge,,-69906.5,0.8,8703.309,0.012,B+,232.64,0.22   7
38,33,71,As,-,-67893,4,8663.93,0.06,B+,2013,4      7
37,34,71,Se,x,-63146.5,2.8,8586.06,0.04,B+,4747,5      7
36,35,71,Br,,-56502,5,8481.46,0.08,B+,6644,6      7
35,36,71,Kr,,-46330,130,8327.1,1.8,B+,10180,130      7
34,37,71,Rb,x,-32060,400,8115,6,B+,14270,420.     7
47,25,72,Mn,x,-9900,600,7937,8,B-,18530,780.     7
46,26,72,Fe,x,-28430,500,8184,7,B-,11770,640.     7
45,27,72,Co,x,-40200,400,8336,6,B-,14030,400.     7
44,28,72,Ni,x,-54226.1,2.2,8520.21,0.03,B-,5556.9,2.6    7
43,29,72,Cu,x,-59783,1.4,8586.525,0.019,B-,8362.5,2.6    7
42,30,72,Zn,x,-68145.5,2.1,8691.805,0.03,B-,442.8,2.3    7
41,31,72,Ga,,-68588.3,0.8,8687.089,0.011,B-,3997.6,0.8    7
40,32,72,Ge,,-72585.9,0.08,8731.745,0.001,,*,7
39,33,72,As,-,-68230,4,8660.38,0.06,B+,4356,4      7
38,34,72,Se,x,-67868.2,2,8644.489,0.027,B+,362,5      7
37,35,72,Br,x,-59061.7,1,8511.312,0.014,B+,8806.4,2.2    7
36,36,72,Kr,x,-53941,8,8429.32,0.11,B+,5121,8      7
35,37,72,Rb,x,-38330,500,8202,7,B+,15610,500.     7
47,26,73,Fe,x,-22900,500,8106,7,B-,14520,640.     7
46,27,73,Co,x,-37420,400,8295,5,B-,12690,400.     7
45,28,73,Ni,x,-50108.2,2.4,8457.65,0.03,B-,8879,3      7
44,29,73,Cu,,-58987.4,1.9,8568.569,0.027,B-,6606,2.7    7
43,30,73,Zn,x,-65593.4,1.9,8648.345,0.026,B-,4105.9,2.5    7
42,31,73,Ga,x,-69699.3,1.7,8693.873,0.023,B-,1598.2,1.7    7
41,32,73,Ge,,-71297.52,0.06,8705.049,0.001,,*,7
40,33,73,As,,-70953,4,8689.61,0.05,B+,345,4      7
39,34,73,Se,,-68227,7,8641.56,0.1,B+,2725,7      7
38,35,73,Br,x,-63647,7,8568.1,0.1,B+,4580,10      7
37,36,73,Kr,x,-56552,7,8460.18,0.09,B+,7096,10      7
36,37,73,Rb,#NAME?,-46080,200,8306,3,B+,10470,200.     7
35,38,73,Sr,x,-31950,400,8102,5,B+,14130,450.     7
48,26,74,Fe,x,-19590,600,8061,8,B-,13230,780.     7
47,27,74,Co,x,-32820,500,8229,7,B-,15640,540.     7
46,28,74,Ni,x,-48460,200,8430,3,B-,7550,200.     7
45,29,74,Cu,x,-56006,6,8521.56,0.08,B-,9751,7      7
44,30,74,Zn,x,-65756.7,2.5,8642.75,0.03,B-,2293,4      7
43,31,74,Ga,x,-68049.6,3,8663.17,0.04,B-,5372.8,3.0    7
42,32,74,Ge,,-73422.442,0.013,8725.2,0,B-,-2562.4,1.7    7
41,33,74,As,,-70860.1,1.7,8680.001,0.023,B-,1353.1,1.7    7
40,34,74,Se,,-72213.201,0.015,8687.715,0,,*,7
39,35,74,Br,,-65288,6,8583.56,0.08,B+,6925,6      7
38,36,74,Kr,,-62331.8,2,8533.038,0.027,B+,2956,6      7
37,37,74,Rb,,-51916,3,8381.71,0.04,B+,10416,3      7
36,38,74,Sr,x,-40830,100,8221,1,B+,11090,100.     7
49,26,75,Fe,x,-13640,600,7982,8,B-,16010,780.     7
48,27,75,Co,x,-29650,500,8185,7,B-,14380,580.     7
47,28,75,Ni,x,-44030,300,8366,4,B-,10440,300.     7
46,29,75,Cu,x,-54471.3,2.3,8495.09,0.03,B-,8088,3      7
45,30,75,Zn,x,-62558.9,2,8592.497,0.026,B-,5906,3      7
44,31,75,Ga,x,-68464.6,2.4,8660.81,0.03,B-,3392.4,2.4    7
43,32,75,Ge,#NAME?,-71856.96,0.05,8695.609,0.001,B-,1177.2,0.9    7
42,33,75,As,,-73034.2,0.9,8700.874,0.012,,*,7
41,34,75,Se,,-72169.48,0.07,8678.913,0.001,B+,864.7,0.9    7
40,35,75,Br,x,-69107,4,8627.65,0.06,B+,3062,4      7
39,36,75,Kr,x,-64324,8,8553.44,0.11,B+,4783,9      7
38,37,75,Rb,x,-57218.7,1.2,8448.275,0.016,B+,7105,8      7
37,38,75,Sr,-,-46620,220,8296.5,2.9,B+,10600,220      7
36,39,75,Y,x,-31820,300,8089,4,B+,14800,370.     7
49,27,76,Co,x,-24510,600,8116,8,B-,17120,720.     7
48,28,76,Ni,x,-41630,400,8331,5,B-,9350,400.     7
47,29,76,Cu,x,-50976,7,8443.53,0.09,B-,11327,7      7
46,30,76,Zn,,-62303,1.5,8582.273,0.019,B-,3993.6,2.4    7
45,31,76,Ga,x,-66296.6,2,8624.526,0.026,B-,6916.2,2.0    7
44,32,76,Ge,,-73212.889,0.018,8705.236,0,B-,-921.5,0.9    7
43,33,76,As,#NAME?,-72291.4,0.9,8682.816,0.012,B-,2960.6,0.9    7
42,34,76,Se,,-75251.95,0.016,8711.477,0,,*,7
