N,Z,A,Element,Origin,Mass Excess [keV],ME unc [keV],Binding Energy [keV],BE unc [keV],B?,B- decay Energy [keV],B-decay En unc [keV]
64,46,110,Pd,,-88330.9,0.6,8547.162,0.006,B-,-873.6,1.4   10
63,47,110,Ag,,-87457.3,1.3,8532.108,0.012,B-,2890.7,1.3   10
62,48,110,Cd,,-90348,0.4,8551.275,0.003,,*,10
61,49,110,In,-,-86470,12,8508.91,0.11,B+,3878,12     10
60,50,110,Sn,x,-85842,14,8496.09,0.13,B+,628,18     10
59,51,110,Sb,x,-77450,6,8412.68,0.05,B+,8392,15     10
58,52,110,Te,,-72230,7,8358.12,0.06,B+,5220,9     10
57,53,110,I,#NAME?,-60460,50,8244,0.5,B+,11770,50     10
56,54,110,Xe,#NAME?,-51920,100,8159.3,0.9,B+,8540,110     10
71,40,111,Zr,x,-37560,700,8128,6,B-,11320,760.    11
70,41,111,Nb,x,-48880,300,8223,3,B-,11060,300.    11
69,42,111,Mo,+,-59940,13,8315.29,0.11,B-,9085,7     11
68,43,111,Tc,x,-69025,11,8390.09,0.1,B-,7761,14     11
67,44,111,Ru,x,-76785,10,8452.96,0.09,B-,5519,12     11
66,45,111,Rh,,-82304,7,8495.63,0.06,B-,3681,7     11
65,46,111,Pd,#NAME?,-85985.9,0.7,8521.749,0.007,B-,2229.6,1.6   11
64,47,111,Ag,+,-88215.4,1.5,8534.787,0.013,B-,1036.8,1.4   11
63,48,111,Cd,,-89252.2,0.4,8537.079,0.003,,*,11
62,49,111,In,,-88392,3,8522.28,0.03,B+,860,3     11
61,50,111,Sn,#NAME?,-85939,5,8493.13,0.05,B+,2453,6     11
60,51,111,Sb,x,-80837,9,8440.12,0.08,B+,5102,10     11
59,52,111,Te,x,-73587,6,8367.76,0.06,B+,7249,11     11
58,53,111,I,,-64954,5,8282.93,0.04,B+,8634,8     11
57,54,111,Xe,#NAME?,-54400,90,8180.8,0.8,B+,10560,90     11
56,55,111,Cs,x,-42820,200,8069,2,B+,11580,210.    11
72,40,112,Zr,x,-33810,700,8094,6,B-,10460,760.    11
71,41,112,Nb,x,-44270,300,8180,3,B-,13190,360.    11
70,42,112,Mo,x,-57460,200,8291,2,B-,7800,200.    11
69,43,112,Tc,x,-65259,6,8353.62,0.05,B-,10372,11     11
68,44,112,Ru,x,-75631,10,8439.24,0.09,B-,4100,50     11
67,45,112,Rh,,-79730,40,8468.9,0.4,B-,6590,40     11
66,46,112,Pd,,-86322,7,8520.72,0.06,B-,262,7     11
65,47,112,Ag,x,-86583.7,2.4,8516.08,0.022,B-,3991.1,2.4   11
64,48,112,Cd,,-90574.86,0.25,8544.73,0.002,B-,-2585,4     11
63,49,112,In,,-87990,4,8514.67,0.04,B-,665,4     11
62,50,112,Sn,,-88655.06,0.29,8513.618,0.003,,*,11
61,51,112,Sb,x,-81599,18,8443.63,0.16,B+,7056,18     11
60,52,112,Te,x,-77568,8,8400.65,0.07,B+,4031,20     11
59,53,112,I,x,-67063,10,8299.88,0.09,B+,10504,13     11
58,54,112,Xe,#NAME?,-60026,8,8230.06,0.07,B+,7037,13     11
57,55,112,Cs,#NAME?,-46290,90,8100.4,0.8,B+,13740,90     11
72,41,113,Nb,x,-40510,400,8146,4,B-,11980,500.    11
71,42,113,Mo,x,-52490,300,8245,3,B-,10320,300.    11
70,43,113,Tc,x,-62812,3,8329.464,0.03,B-,9060,40     11
69,44,113,Ru,,-71870,40,8402.7,0.3,B-,6900,40     11
68,45,113,Rh,x,-78768,7,8456.82,0.06,B-,4824,10     11
67,46,113,Pd,x,-83591,7,8492.58,0.06,B-,3436,18     11
66,47,113,Ag,+,-87027,17,8516.07,0.15,B-,2016,17     11
65,48,113,Cd,,-89043.28,0.24,8526.987,0.002,B-,323.83,0.27  11
64,49,113,In,,-89367.12,0.19,8522.929,0.002,,*,11
63,50,113,Sn,,-88328.1,1.6,8506.811,0.014,B+,1039,1.6   11
62,51,113,Sb,-,-84417,17,8465.28,0.15,B+,3911,17     11
61,52,113,Te,x,-78347,28,8404.64,0.25,B+,6070,30     11
60,53,113,I,x,-71120,8,8333.75,0.07,B+,7228,29     11
59,54,113,Xe,,-62204,7,8247.93,0.06,B+,8916,11     11
58,55,113,Cs,#NAME?,-51765,9,8148.62,0.08,B+,10439,11     11
57,56,113,Ba,x,-39780,300,8036,3,B+,11980,300.    11
73,41,114,Nb,x,-35390,500,8100,4,B-,14420,590.    11
72,42,114,Mo,x,-49810,300,8220,3,B-,8790,530.    11
71,43,114,Tc,x,-58600,430,8290,4,B-,11620,430     11
70,44,114,Ru,x,-70222,4,8385.34,0.03,B-,5490,70     11
69,45,114,Rh,,-75710,70,8426.6,0.6,B-,7780,70     11
68,46,114,Pd,x,-83491,7,8488.01,0.06,B-,1440,8     11
67,47,114,Ag,x,-84931,5,8493.78,0.04,B-,5084,5     11
66,48,114,Cd,,-90014.93,0.28,8531.513,0.002,B-,-1445.1,0.4   11
65,49,114,In,,-88569.8,0.3,8511.973,0.003,B-,1989.9,0.3   11
64,50,114,Sn,,-90559.723,0.029,8522.566,0,,*,11
63,51,114,Sb,,-84497,22,8462.52,0.19,B+,6063,22     11
62,52,114,Te,x,-81889,28,8432.78,0.25,B+,2610,40     11
61,53,114,I,x,-72800,150,8346,1,B+,9090,150.    11
60,54,114,Xe,x,-67086,11,8289.2,0.1,B+,5710,150.    11
59,55,114,Cs,#NAME?,-54680,70,8173.5,0.6,B+,12400,70     11
58,56,114,Ba,#NAME?,-45910,100,8089.7,0.9,B+,8780,120     11
74,41,115,Nb,x,-31350,500,8065,4,B-,13400,640.    11
73,42,115,Mo,x,-44750,400,8175,3,B-,11570,890.    11
72,43,115,Tc,x,-56320,790,8269,7,B-,9870,790     11
71,44,115,Ru,x,-66190,90,8347.5,0.8,B-,8040,90     11
70,45,115,Rh,x,-74230,7,8410.66,0.06,B-,6197,15     11
69,46,115,Pd,,-80426,14,8457.74,0.12,B-,4556,22     11
68,47,115,Ag,,-84983,18,8490.56,0.16,B-,3102,18     11
67,48,115,Cd,,-88084.5,0.7,8510.724,0.006,B-,1451.9,0.7   11
66,49,115,In,,-89536.346,0.012,8516.546,0,B-,497.489,0.010 11
65,50,115,Sn,,-90033.835,0.015,8514.069,0,,*,11
64,51,115,Sb,x,-87003,16,8480.91,0.14,B+,3030,16     11
63,52,115,Te,x,-82063,28,8431.15,0.24,B+,4940,30     11
62,53,115,I,x,-76338,29,8374.56,0.25,B+,5720,40     11
61,54,115,Xe,x,-68657,12,8300.97,0.11,B+,7680,30     11
60,55,115,Cs,x,-59700,100,8216,1,B+,8960,100.    11
59,56,115,Ba,x,-49020,200,8117,2,B+,10680,230.    11
74,42,116,Mo,x,-41500,500,8146,4,B-,9960,580.    11
73,43,116,Tc,x,-51460,300,8225,3,B-,12610,300.    11
72,44,116,Ru,x,-64069,4,8326.88,0.03,B-,6670,70     11
71,45,116,Rh,,-70740,70,8377.6,0.6,B-,9100,70     11
70,46,116,Pd,x,-79832,7,8449.28,0.06,B-,2711,8     11
69,47,116,Ag,x,-82543,3,8465.907,0.028,B-,6170,3     11
68,48,116,Cd,,-88712.48,0.16,8512.35,0.001,B-,-462.73,0.27  11
67,49,116,In,#NAME?,-88249.75,0.22,8501.617,0.002,B-,3276.22,0.24  11
66,50,116,Sn,,-91525.97,0.1,8523.116,0.001,,*,11
65,51,116,Sb,,-86822,5,8475.82,0.04,B+,4704,5     11
64,52,116,Te,x,-85269,28,8455.69,0.24,B+,1553,28     11
63,53,116,I,+,-77490,100,8381.9,0.8,B+,7780,100     11
62,54,116,Xe,x,-73047,13,8336.83,0.11,B+,4450,100     11
61,55,116,Cs,ea,-62040,100,8235,1,B+,11000,100.    11
60,56,116,Ba,x,-54580,200,8164,2,B+,7460,220.    11
59,57,116,La,#NAME?,-40650,310,8037,3,B+,13940,370.    11
75,42,117,Mo,x,-36170,500,8100,4,B-,12210,640.    11
74,43,117,Tc,x,-48380,400,8197,3,B-,11110,590.    11
73,44,117,Ru,x,-59490,430,8286,4,B-,9410,430     11
72,45,117,Rh,x,-68897,9,8359.28,0.08,B-,7527,11     11
71,46,117,Pd,,-76424,7,8416.93,0.06,B-,5758,15     11
70,47,117,Ag,,-82182,14,8459.45,0.12,B-,4236,14     11
69,48,117,Cd,#NAME?,-86418.4,1,8488.973,0.009,B-,2525,5     11
68,49,117,In,,-88943,5,8503.86,0.04,B-,1455,5     11
67,50,117,Sn,,-90397.8,0.5,8509.611,0.004,,*,11
66,51,117,Sb,,-88640,8,8487.9,0.07,B+,1758,8     11
65,52,117,Te,,-85095,13,8450.92,0.12,B+,3544,13     11
64,53,117,I,,-80436,26,8404.41,0.22,B+,4659,29     11
63,54,117,Xe,x,-74185,10,8344.3,0.09,B+,6251,28     11
62,55,117,Cs,x,-66490,60,8271.9,0.5,B+,7690,60     11
61,56,117,Ba,ep,-57460,250,8188,2.1,B+,9040,260     11
60,57,117,La,#NAME?,-46470,200,8087,2,B+,10990,320.    11
76,42,118,Mo,x,-32630,500,8069,4,B-,11160,640.    11
75,43,118,Tc,x,-43790,400,8157,3,B-,13470,450.    11
74,44,118,Ru,x,-57260,200,8265,2,B-,7630,200.    11
73,45,118,Rh,x,-64887,24,8322.86,0.21,B-,10501,24     11
72,46,118,Pd,,-75388.7,2.5,8405.222,0.021,B-,4165,4     11
71,47,118,Ag,x,-79553.8,2.5,8433.889,0.021,B-,7148,20     11
70,48,118,Cd,#NAME?,-86702,20,8487.83,0.17,B-,527,21     11
69,49,118,In,,-87228,8,8485.67,0.07,B-,4425,8     11
68,50,118,Sn,,-91652.9,0.5,8516.533,0.004,,*,11
67,51,118,Sb,-,-87996,3,8478.915,0.026,B+,3656.6,3.0   11
66,52,118,Te,#NAME?,-87697,18,8469.75,0.16,B+,300,19     11
65,53,118,I,x,-80971,20,8406.12,0.17,B+,6726,27     11
64,54,118,Xe,x,-78079,10,8374.98,0.09,B+,2892,22     11
63,55,118,Cs,IT,-68409,13,8286.4,0.11,B+,9670,16     11
62,56,118,Ba,x,-62350,200,8228,2,B+,6060,200.    11
61,57,118,La,x,-49560,300,8113,3,B+,12790,360.    11
76,43,119,Tc,x,-40370,500,8128,4,B-,12190,590.    11
75,44,119,Ru,x,-52560,300,8224,3,B-,10260,300.    11
74,45,119,Rh,x,-62823,9,8303.39,0.08,B-,8585,12     11
73,46,119,Pd,x,-71408,8,8368.96,0.07,B-,7238,17     11
72,47,119,Ag,,-78646,15,8423.21,0.12,B-,5330,40     11
71,48,119,Cd,,-83980,40,8461.4,0.3,B-,3720,40     11
70,49,119,In,,-87699,7,8486.14,0.06,B-,2366,7     11
69,50,119,Sn,,-90065,0.7,8499.449,0.006,,*,11
68,51,119,Sb,,-89474,8,8487.91,0.06,B+,591,8     11
67,52,119,Te,-,-87181,8,8462.07,0.07,B+,2293,2.0   11
66,53,119,I,x,-83766,28,8426.79,0.23,B+,3416,29     11
65,54,119,Xe,x,-78794,10,8378.44,0.09,B+,4971,30     11
64,55,119,Cs,IT,-72305,14,8317.33,0.12,B+,6489,17     11
63,56,119,Ba,ep,-64590,200,8245.9,1.7,B+,7710,200     11
62,57,119,La,x,-54790,300,8157,3,B+,9800,360.    11
61,58,119,Ce,x,-43940,500,8059,4,B+,10850,580.    11
77,43,120,Tc,x,-35520,500,8087,4,B-,14490,640.    11
76,44,120,Ru,x,-50010,400,8201,3,B-,8800,450.    11
75,45,120,Rh,x,-58820,200,8268,2,B-,11470,200.    11
74,46,120,Pd,,-70280.1,2.3,8357.085,0.019,B-,5371,5     11
73,47,120,Ag,x,-75652,4,8395.33,0.04,B-,8306,6     11
72,48,120,Cd,x,-83957,4,8458.02,0.03,B-,1770,40     11
71,49,120,In,+,-85730,40,8466.3,0.3,B-,5370,40     11
70,50,120,Sn,,-91098.4,0.9,8504.492,0.007,B-,-2681,7     11
69,51,120,Sb,-,-88418,7,8475.63,0.06,B-,950,8     11
68,52,120,Te,,-89368,3,8477.034,0.026,,*,11
67,53,120,I,-,-83753,15,8423.72,0.13,B+,5615,15     11
66,54,120,Xe,x,-82172,12,8404.03,0.1,B+,1581,19     11
65,55,120,Cs,IT,-73889,10,8328.48,0.08,B+,8284,15     11
64,56,120,Ba,-,-68890,300,8280.3,2.5,B+,5000,300     11
63,57,120,La,x,-57570,300,8179,2,B+,11320,420.    11
62,58,120,Ce,x,-49600,500,8107,4,B+,7970,580.    11
78,43,121,Tc,x,-31780,500,8056,4,B-,13270,640.    12
77,44,121,Ru,x,-45050,400,8159,3,B-,11200,740.    12
76,45,121,Rh,x,-56250,620,8245,5,B-,9930,620     12
75,46,121,Pd,x,-66182,3,8320.858,0.028,B-,8220,13     12
74,47,121,Ag,x,-74403,12,8382.33,0.1,B-,6671,12     12
73,48,121,Cd,x,-81073.8,1.9,8430.996,0.016,B-,4762,27     12
72,49,121,In,#NAME?,-85836,27,8463.89,0.23,B-,3361,27     12
71,50,121,Sn,,-89197.3,1,8485.201,0.008,B-,403.1,2.7   12
70,51,121,Sb,,-89600.3,2.6,8482.066,0.021,,*,12
69,52,121,Te,,-88546,26,8466.88,0.21,B+,1055,26     12
68,53,121,I,,-86251,5,8441.46,0.04,B+,2294,26     12
67,54,121,Xe,,-82481,10,8403.83,0.08,B+,3770,12     12
66,55,121,Cs,,-77102,14,8352.91,0.12,B+,5379,14     12
65,56,121,Ba,-,-70740,140,8293.9,1.2,B+,6360,140     12
64,57,121,La,x,-62190,300,8217,2,B+,8560,330.    12
63,58,121,Ce,x,-52690,400,8132,3,B+,9500,500.    12
62,59,121,Pr,#NAME?,-41420,500,8032,4,B+,11270,640.    12
